https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6531,Arribo,02/03/2017 06:02,ACM AIR CHARTER,FBO AEROCARDAL LTDA,DIEGO BARROS ORTIZ 2065 PUDAHUEL,,DARYR,Privado,BVR40,,fbo@aerocardal.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6532,Arribo,02/03/2017 06:14,SUNSET AVIATION LLC DBA SOLAIRUS AVIATION,SUNSET AVIATION LLC DBA SOLAIRUS AVIATION,"1150 GEMINI
HOUSTON, TX  77058  USA",,N415P,Negocios,N415P,,CMBLUE@UNIV-WEA.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6533,Arribo,02/03/2017 08:21,AIR ALSIE,SANTIAGO FBO S.A.,OMAR PAGE 2077,,OYVIK,Privado,OYVIK,,operaciones@santiagofbo.cl
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6534,Sobrevuelo,02/03/2017 10:53,OPP FILM SA,SERVICIOS AEREOS Y TERRESTRES AVIASUR SA,HERNANDO DE AGUIRRE 414 ,,N858MY,Privado,,,FBO@AVIASUR.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6535,Arribo,02/03/2017 12:24,ROYAL JET LLC,UNIVERSAL WEATHER AND AVIATION,"1150 GEMINI STREET, HOUSTON, TX., 77058 USA",TSSBIGJETS@UNIV-WEA.COM,A6AIN,Negocios,ROJ03,,TSSBIGJETS@UNIV-WEA.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6536,Sobrevuelo,02/03/2017 13:14,JUANO S.A. ,JUANO S.A. ,REMEDIOS ESCALADA 5750CP 1822 VALENTIN ALSINA BS AIRES ARGENTINA,EDUARDOMERCHALI@GMAIL.COM,LVGVQ,Privado,LVGVQ,,MECHALI@GMAIL.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6537,Arribo,02/03/2017 13:27,JUANO S.A.,JUANO S.A.,REMEDIOS ESCALAD 5750 CP 1822 VALENTIN ALSINA  BS AIRES AREGENTINA,,LVGVQ,Privado,LVGVQ,,eduardomechali@gmail.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6538,Sobrevuelo,02/03/2017 15:22,NASA,National Aeronautics and Space Agency,Columbia Scientific Balloon Facility,,NASA,Cientifico,none,,RuppelEA@state.gov
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6539,Arribo,02/03/2017 17:26,BAIRES  FLY  S.A.,BAIRES  FLY SA,AP AEROPARQUE - BS. AIRES - ARGENTINA,,LVCPL,Privado,LVCPL,,airdispatch@gmail.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6540,Arribo,02/03/2017 18:16,Alexandre Themens Simard,NA,"65 rue des roseaux, Blainville, Qc, Canada",,CFESC,Privado,NA,,alex.themens.simard@gmail.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6541,Arribo,02/03/2017 18:26,CHEYENNE  S.A.,CHEYENNE  S.A.,AP AEROPARQUE  BS. AIRES - ARGENTINA,,LVBSS,Privado,LVBSS,,airdispatch@gmail.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6542,Sobrevuelo,03/03/2017 04:45,PROCTOR AND GAMBLE,PROCTOR AND GAMBLE,"2925 BRIARPARK DR. 7TH FLR
HOUSTON TX, 77042",ops@rockwellcollins.com,N5PG,Privado,N/A,,ops@rockwellcollins.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6543,Arribo,03/03/2017 11:15,EAP OPERATING INC,SERVICIOS AEREOS Y TERRESTRES AVIASUR SA,HERNANDO DE AGUIRRE 414 PROVIDENCIA,,N20YL,Privado,,,FBO@AVIASUR.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6544,Arribo,03/03/2017 12:46,PREMIUM ONE AVIATION LLC,FBO AEROCARDAL LTDA,DIEGO BARROS ORTIZ 2065 PUDAHUEL,,N287TG,Privado,TBA,,fbo@aerocardal.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6545,Arribo,03/03/2017 15:34,EAP OPERATING INC,SERVICIOS AEREOS Y TERRESTRES AVIASUR SA,HERNANDO DE AGUIRRE 414 PROVIDENCIA,,N20YL,Privado,,,FBO@AVIASUR.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6546,Arribo,03/03/2017 15:50,Elizabeth del Pilar Torrico de Claure,Avion Privado,Avenida Excombatientes Nro 100,,CP2380,Evacuacion Aeromedica,CP-2380,,tantor_521@hotmail.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6547,Arribo,03/03/2017 18:52,"Global Jetcare, Inc.",FBO AEROCARDAL LTDA,DIEGO BARROS ORTIZ 2065 PUDAHUEL,,N91GJ,Evacuacion Aeromedica,,,fbo@aerocardal.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6548,Sobrevuelo,03/03/2017 19:18,Eastern Airlines,Eastern Airlines,"3808 World Houston Parkway, Suite B, Houston, TX, 77032",,N278EA,Privado,N278EA,,handling@aegfuels.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6549,Sobrevuelo,04/03/2017 09:51,OCEANAIR LINHAS AEREAS LTD,OCEANAIR LINHAS AEREAS LTD,"950 S CHERRY STREET DENVER, COLORADO, 80246",CS@WFSCORP.COM,PRONV,Carga,ONE8541,,CS@WFSCORP.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6550,Arribo,04/03/2017 14:39,EUROFARMA LABORATORIOS SA,FBO AEROCARDAL LTDA,DIEGO BARROS ORTIZ 2065,,PREUF,Privado,,,fbo@aerocardal.com
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6551,Arribo,05/03/2017 03:56,ROYAL JET LLC,UNIVERSAL WEATHER AND AVAITION,"1150 GEMINI ST HOUSTON, TX 77058",TSSBIGJETS@UNIV-WEA.COM,A6AIN,Negocios,,,TSSBIGJETS@UNIV-WEA.COM
https://servicios.dgac.gob.cl/arsv-web/solicitudes.html#/verSolicitudArsv/6552,Arribo,05/03/2017 05:56,ROYAL JET LLC,UNIVERSAL WEATHER AND AVAITION,"1150 GEMINI ST HOUSTON, TX 77058",TSSBIGJETS@UNIV-WEA.COM,A6AIN,Negocios,,,TSSBIGJETS@UNIV-WEA.COM
